Weekly device usage,Age,Sex,Ethnicity simplified,IU_W2R,ICQ_01_t,ICQ_02_a,ICQ_03_se,ICQ_04_d,ICQ_05_so,ICQ_06_c,ICQ_07_t,ICQ_08_a,ICQ_09_se,ICQ_10_d,ICQ_11_so,ICQ_12_c,ICQ_13_t,ICQ_14_a,ICQ_15_se,ICQ_16_d,ICQ_17_so,ICQ_18_c,ICQ_19_t,ICQ_20_a,ICQ_21_se,ICQ_22_d,ICQ_23_so,ICQ_24_c,ICQ_25_t,ICQ_26_a,ICQ_27_se,ICQ_28_d,ICQ_29_so,ICQ_30_c,YDQ:1,YDQ:2,YDQ:3,YDQ:4,YDQ:5,YDQ:6,YDQ:7,YDQ:8
Multiple times every day,28,Male,Mixed,1,5,4,4,5,3,5,4,3,2,4,3,5,6,3,2,5,3,6,6,3,6,5,4,5,1,3,4,4,4,5,1,2,2,1,1,2,2,1
Multiple times every day,37,Male,White,2,3,6,5,5,2,5,3,5,2,5,2,4,5,6,1,2,2,5,6,2,7,7,3,5,1,6,6,3,3,2,2,2,2,2,2,2,2,2
Multiple times every day,38,Female,White,2,4,4,4,5,3,4,4,3,3,5,4,5,4,4,3,4,4,4,3,3,4,6,4,4,2,3,5,3,4,4,2,1,2,2,1,2,2,1
Multiple times every day,55,Female,White,1,3,3,3,2,1,2,2,3,1,2,3,2,3,3,1,2,3,2,4,1,2,2,1,2,1,2,5,2,2,2,2,2,2,2,1,2,2,2
Multiple times every day,50,Male,White,2,7,5,5,1,3,1,7,4,1,3,1,3,5,4,1,3,2,2,4,3,4,1,2,2,1,4,5,1,1,2,2,2,2,2,2,2,2,2
Multiple times every day,68,Female,White,2,3,1,5,2,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2
Multiple times every day,32,Female,White,2,5,5,5,7,3,5,5,5,5,4,4,6,6,4,4,4,5,5,5,4,5,3,5,6,2,4,6,4,4,6,1,2,2,1,1,2,2,1
Multiple times every day,33,Female,White,2,6,2,3,4,1,4,6,4,1,3,2,2,4,4,4,3,3,3,6,2,5,5,2,3,4,1,4,2,2,4,2,2,2,2,1,2,2,2
Multiple times every day,40,Male,White,1,6,3,7,4,6,4,5,2,3,3,3,5,7,2,3,3,2,6,2,2,5,1,1,6,1,2,4,1,4,4,2,2,2,1,1,2,2,1
Multiple times every day,26,Male,Black,1,5,3,6,6,5,3,5,4,3,6,2,4,5,3,4,7,3,3,6,1,5,7,3,2,1,3,5,2,3,4,2,1,2,2,1,2,2,2
Multiple times every day,67,Male,White,2,4,6,5,1,2,3,4,4,5,1,2,2,6,6,4,1,2,2,5,4,3,1,1,3,3,5,5,1,2,1,2,2,2,2,2,2,2,2
Multiple times every day,36,Female,White,1,3,1,4,6,1,6,3,1,1,5,2,4,4,1,1,5,1,6,3,1,5,6,3,6,1,1,4,2,2,5,2,2,1,1,1,2,2,1
Multiple times every day,48,Female,White,1,5,4,4,3,6,3,5,3,1,2,2,2,6,4,1,3,2,2,1,3,3,1,2,2,1,2,5,1,2,2,2,2,2,2,1,2,2,1
Every day,47,Female,White,2,6,2,5,3,5,5,7,5,2,2,1,5,6,6,1,1,5,5,3,5,7,6,1,6,1,6,4,1,4,6,2,2,2,2,2,2,2,1
Every day,28,Male,White,2,6,5,5,5,2,3,6,3,2,2,2,2,4,5,3,2,2,3,5,4,5,2,3,2,1,4,5,2,3,2,2,2,2,2,2,2,2,2
Multiple times every day,36,Male,White,2,6,4,7,7,6,7,6,7,6,6,6,7,7,5,6,6,7,7,7,5,7,5,6,7,3,4,5,7,7,7,1,1,2,1,1,2,2,1
Multiple times every day,61,Female,White,2,6,4,5,4,4,2,6,4,4,3,2,3,3,5,4,2,2,2,6,4,3,6,2,2,6,2,4,2,2,2,1,2,2,2,2,2,2,2
Multiple times every day,41,Female,White,2,7,5,5,4,2,5,6,3,2,4,2,5,2,4,3,4,5,3,3,4,3,7,3,3,2,5,3,3,2,3,2,2,2,2,1,2,2,1
